text,true_label,lr_pred,lr_prob,xgb_pred,xgb_prob,bert_pred,bert_prob,all_agree
 cory bookers response to donald trump insult proves democrats are better than republicans video,1,1,0.9926510944031267,1,0.99947983,1,0.9980142,True
 on election day trump calls running for president a waste of time video,1,1,0.9246507821568006,1,0.9901868,0,0.16498524,False
trump campaign member praises oregon wildlife refuge occupation,0,1,0.5859575206187645,0,0.27378485,0,0.0010987709,False
 bernie was asked to say one nice thing about trump and cruz  his response is hilarious imagevideo,1,1,0.9101146082029156,1,0.9979017,1,0.9997676,True
california other states vow to lead as trump exits paris climate pact,0,0,0.06462587401300166,0,0.30812052,0,0.0033459808,True
house speaker ryan not enough support for tpp vote,0,0,0.035097296543671816,0,0.08793983,0,0.000544366,True
 trump just shut down all of the department of the interiors twitter accounts because reasons,1,1,0.9303460143844444,1,0.99719715,1,0.99920064,True
steelers player gives surprise statement on anthem before sundays game,1,1,0.6482508298462932,0,0.18807706,0,0.07843608,False
 breaking comey just shut down trumps tweeted lies in real time during hearing video,1,1,0.9985431850461378,1,0.999956,1,0.9996922,True
turkish foreign minister says joint operation with iraq on table after referendum,0,0,0.007417901911506397,0,0.007375821,0,0.00031100312,True
watch gun nut believes trumps second amendment threat is a call to arms,1,1,0.917767006059998,1,0.9905285,1,0.9963527,True
us election agency breached by hackers after november vote,0,0,0.06845714152010354,0,0.04196638,0,0.04146829,True
juncker chides eu candidate turkey upbeat on western balkans,0,0,0.044868094763706096,0,0.0075981426,0,0.00020946247,True
tillerson tightens the reins at state department,0,0,0.05487871066149189,0,0.03058557,0,0.002176985,True
overcrowded greek refugee camps illprepared for winter unhcr,0,0,0.31212905506898553,0,0.06840191,0,0.0015156795,True
 bernie sanders reveals his full health care funding plan the  are going to hate it,1,1,0.9207257299106305,1,0.9967077,1,0.9998171,True
eu calls report on mayjuncker talks a smear,0,0,0.06146571573806315,0,0.009079201,0,0.00019083174,True
campaigning while drunk video showing hillary dancing reopens booze swilling past video,1,1,0.9888432900419313,1,0.997134,1,0.7896626,True
more than  dead in philippine mudslides flooding officials,0,0,0.09458878317928746,0,0.06449309,0,0.00044509853,True
trump says union head who accused him of lying has done a terrible job,0,0,0.1972784732579082,0,0.34844765,0,0.07767609,True
democrats ride grassroots wave to major statehouse gains,0,0,0.3447543645909337,0,0.13441859,0,0.0064355927,True
 this tidbit buried inside trumps medical report proves hes paranoid as fck,1,1,0.9407050522651982,1,0.932417,1,0.9409369,True
 senate democrats introduce bill to fight back against trumps corruption  trump livid,1,0,0.32126403604329745,0,0.4615607,0,0.07280921,True
why did president trump receive  day scrutiny while other presidents got a pass video,1,1,0.9904615285561119,1,0.9994667,1,0.99662113,True
trump acknowledges he is under investigation in russia probe,0,0,0.12845370128342748,0,0.089161426,0,0.014998044,True
 federal court strikes down north carolinas racist gerrymandering law,1,0,0.3970656006859451,1,0.6504133,1,0.9811678,False
africanamerican museum grand opening irony watch police violate rights of protester exposing hillarys racist remarks,1,1,0.9112916507352069,1,0.99960333,1,0.9998229,True
 breaking comey was troubled by evidence of collusion with russia when trump fired him,1,1,0.8291232112682616,1,0.98457503,1,0.99942243,True
trump biden attend same pennsylvania college graduation,0,0,0.4770819836238266,0,0.17076649,0,0.004873759,True
flashback hillary courts illegal alien vote by lying about her three immigrant grandparents,1,1,0.9650438778398566,1,0.9954769,1,0.99944407,True
 ben stein hilariously bashes trump tells him to man up and stop his whiny bitchiness video,1,1,0.9797912060905287,1,0.9992981,1,0.99979097,True
trump to speak in tough terms about north korea in first un speech,0,0,0.07017741903364462,0,0.2170258,0,0.0022774963,True
lol marshawn lynchs mommy comes to her sons defense after trump calls him out for disrespecting us flag during nfl game in mexico what nfl team do trump own ,1,1,0.755213580436791,1,0.99445987,1,0.9994635,True
 ceo of starbucks sends giant fk you to trump in groundbreaking open letter,1,1,0.6785904261786698,1,0.7249352,1,0.95775867,True
 trumps inner circle is busily making revenge a top priority,1,1,0.6369823756781278,0,0.2601326,0,0.16157216,False
white house tax reform may begin in late spring spicer,0,0,0.07117327493093706,0,0.0108310245,0,0.0013924822,True
us trial of turkish banker not legal should be ended turkish minister,0,0,0.03962567418243994,0,0.030207265,0,0.0013345082,True
 how obama and trump responded to fidel castros death says so much about who these men are,1,0,0.4197962870383682,1,0.9887376,1,0.9953707,False
 greta van susteren slams fox news for not dealing with roger ailes sooner,1,1,0.8096925390783926,1,0.7779841,1,0.9995328,True
australias high court to rule in new citizenship test case,0,0,0.03953609210927835,0,0.015544802,0,0.0002157144,True
 senate democrats just made huge inyourface move on russian hacking scandal,1,1,0.6883430147932146,1,0.9051451,1,0.9993037,True
obama says china would not take change in us policy on taiwan lightly,0,0,0.01701815584405531,0,0.026827637,0,0.004989542,True
actor russell crowe criticizes australian bid to move asylum seekers,0,0,0.09942422516236774,0,0.046959143,0,0.0016445034,True
trump immigration order may require legislation us lawmakers,0,0,0.06680786550615506,0,0.020638749,0,0.0011104082,True
us senators seek answers on us presence in niger after ambush,0,0,0.07377657329030536,0,0.043381806,0,0.0013756688,True
it begins wisconsin company first in us to implant microchips in employees,1,1,0.7182772900381797,0,0.3417312,1,0.73459774,False
 watch spicer attacks obama on fox news then gives offcamera press briefing,1,1,0.9833034038719354,1,0.99845254,1,0.9396607,True
trump says he will get intelligence briefing on russia hacking on friday,0,0,0.03022309331508077,0,0.039496455,0,0.0022745791,True
 gop implodes as california passes bill to make congress censure trumps racism details,1,1,0.9685024974068457,1,0.99330443,1,0.8226168,True
trump warns emboldened iran to comply with nuclear deal,0,0,0.11441861313625194,0,0.013781884,0,0.0017244976,True
 fly over shows may  gulf oil spill far worse than reported video,1,1,0.8513655712065702,1,0.963149,0,0.1752209,False
harry harry crowd yells military heros name during president trumps incredible speech to veterans video,1,1,0.9659422691270285,1,0.99685043,1,0.99957234,True
china names new commanders for army air force in reshuffle,0,0,0.09443281065107167,0,0.013452243,0,0.0010326983,True
brexit law passes hurdle in reprieve for british pm may,0,0,0.038194423229704434,0,0.013774134,0,0.00018830037,True
yemen set to run out of fuel and vaccine in a month unicef,0,0,0.12218539331929346,0,0.364987,0,0.0013953854,True
trumps pick for labor secretary admits to employing illegal immigrant,0,1,0.6575415967853988,1,0.6512785,0,0.061291408,False
another nail in dem partys coffin trump opens line to help victims of crimes by illegal aliensleft mocks victimsshuts down line,1,1,0.7767893769997655,1,0.99818784,1,0.9995203,True
senators challenge trump plan to privatize air traffic control,0,0,0.09398397218517385,0,0.045908716,0,0.0016830827,True
mexicos slim calls trump negotiator not terminator,0,0,0.173341345456718,0,0.06368917,0,0.00019744672,True
japan says it and us share stance pressure needed on north korea,0,0,0.006231326466705695,0,0.0014242064,0,0.0010478671,True
lufthansa changes flight routes after latest north korea missile testing,0,0,0.0809927731480745,0,0.04209813,0,0.0012009107,True
wow sheriff joe arpaio considering running against this unpopular arizona senator,1,1,0.7743772794391939,1,0.9404399,1,0.9996855,True
south africa antizuma protests harden anc succession divides,0,0,0.06342128341546291,0,0.019402593,0,0.00014133276,True
uks may says foreign minister johnson doing good work,0,0,0.04059725752105764,0,0.0013247525,0,0.00023143648,True
virginia court rules for trump in travel ban dispute order still halted,0,0,0.030425009699012438,0,0.076351605,0,0.0036949797,True
kathy griffin  hillary clinton are losers not victims,1,1,0.7947068110667384,0,0.31369394,1,0.7372041,False
 heres the gop debate in a nutshell and its an absolute clusterfck video,1,1,0.9984616615819673,1,0.99930656,1,0.9997757,True
nearly half of britons back trump state visit yougov poll,0,0,0.2011805674579366,0,0.08695364,0,0.0003664405,True
shocker cnn panel rips on dnc chair for his disgusting profanity laden speeches video,1,1,0.9688804462598991,1,0.99787915,1,0.99965715,True
 this brilliant tweetstorm shows how senate democrats can save scotus,1,1,0.6665548064838831,0,0.19799171,1,0.99913055,False
texas college students outraged traditional  memorial flag display movedcould offend some students,1,1,0.8552988301870076,1,0.99345523,1,0.9656844,True
britain and eu fail to agree brexit deal on monday bbc,0,0,0.02454454364156144,0,0.018919576,0,0.00020155883,True
facebook hires porn star and husband accused of defrauding snopes website to factcheck mostly conservative websites,1,1,0.6646944103724146,1,0.9841027,1,0.927502,True
zimbabwe parliament has received motion to remove mugabe speaker,0,0,0.07477620423389979,0,0.02900259,0,0.00018999747,True
romney to endorse rubio in  republican white house race report,0,0,0.09511978869730112,0,0.04189622,0,0.00078306184,True
twothirds of japan voters oppose pm abe calling snap election kyodo survey,0,0,0.06114856133112566,0,0.041066546,0,0.00046840822,True
turkish and iraqi militaries discuss kurdish independence vote,0,0,0.015960454414107716,0,0.013471166,0,0.0002221563,True
 watch amy goodman destroys cnn over their pathetic election coverage video,1,1,0.9953967190929797,1,0.9981382,1,0.9998061,True
 press asks sean spicer to prove trump left businesses his response is infuriating video,1,1,0.9868366565262101,1,0.9959418,1,0.99877137,True
more americans want independent investigation of trump reutersipsos poll,0,0,0.3910500094511149,0,0.18413053,0,0.003657399,True
turkey expects eu to provide total  billion euros under migrant deal by end minister,0,0,0.036076490595404076,0,0.004345461,0,0.00022306408,True
 comey sends damning warning about future elections after trump details,1,1,0.8958379712227053,0,0.394461,1,0.9964114,False
trump commerce nominee ross to tell senators i am not antitrade,0,0,0.151161029672259,0,0.09499038,0,0.0013628607,True
democrat gillibrand opposes trumps supreme court nominee,0,0,0.2090111489043238,0,0.100713745,0,0.003623176,True
house speaker ryan says work remains to secure freedom in cuba,0,0,0.009065374603438031,0,0.0024056984,0,0.0008860506,True
britains may wins brexit reprieve faces tough weeks ahead,0,0,0.03185556353786161,0,0.0181032,0,0.0001927596,True
video sheriff clarke exposes the left this ferguson protests is nothing more than an attempt to try to energize and mobilize the black vote through the  election,1,1,0.9467037501644874,1,0.9979898,1,0.99984586,True
outrageous proof that obama is divorced from realityin a huge way video,1,1,0.9938776689579943,1,0.9976025,1,0.99928075,True
house intel committee wants trump jr to appear before panel top democrat,0,0,0.20841183063032065,0,0.081909426,0,0.001780659,True
mexico sets out nafta goals ahead of renegotiation talks document,0,0,0.024634363652223684,0,0.008262078,0,0.00023835733,True
obama high court nominee moves ahead with senate meetings,0,0,0.021005061696273777,0,0.0064151697,0,0.00050325494,True
senate passes usa freedom act,1,0,0.21459091278359452,0,0.14736897,0,0.0032561524,True
russia and north korea to discuss nuclear crisis in moscow,0,0,0.01017750794615208,0,0.008019531,0,0.001358654,True
fox news bumps two surprising gop candidates to bottom tier of debate,1,1,0.9363131543277763,1,0.98536104,1,0.9908183,True
philippines duterte threatens to close mines that support rebels,0,0,0.10142711285700722,0,0.04054023,0,0.0007301744,True
taiwan president pledges to defend freedoms despite china pressure,0,0,0.03801756615296271,0,0.007185578,0,0.00081558555,True
 watch white confederate flagwaving redneck threatens to lynch black man,1,1,0.9854438933666467,1,0.96053976,1,0.99970466,True
 sanders fans break fundraising site after nh primary win videotweets,1,0,0.36750603784088676,0,0.11655017,0,0.011618052,True
democratic senator wyden says he will vote for puerto rico debt bill,0,0,0.026574441672877674,0,0.014233976,0,0.0007113689,True
trump administration not considering a carbon tax white house official,0,0,0.03940222888004197,0,0.004246653,0,0.002709987,True
pope holds emotional meeting with refugees says rohingya for first time,0,0,0.03142376765892324,0,0.01330748,0,0.00018112702,True
can hillary lie her way out of this one physician says hillary has parkinsons diseasehillary admits she couldnt even get up after convention,1,1,0.9522639243671193,1,0.9908579,1,0.9998191,True
ridiculous nbc stirs up fear of a trump presidency with zero credible reasonsthey think were stupid,1,1,0.6014083764166226,1,0.9889746,1,0.9996927,True
italian regions start pursuing greater autonomy in shadow of catalonia crisis,0,0,0.10537310863329527,0,0.10085214,0,0.00017999385,True
catalan leader opens door to secession from spain after vote,0,0,0.05746217008947754,0,0.0125496,0,0.0002647606,True
 why trump kicked this writer off his golf course,1,1,0.7172224547580681,0,0.13412912,1,0.99941444,False
trump says hopes for cuban freedom after castro death,0,0,0.041365510463199015,0,0.013767911,0,0.0007373959,True
abadi defends role of iranianbacked paramiltaries at meeting with tillerson,0,0,0.05605021767513416,0,0.07513287,0,0.00062587555,True
britains may sees off challenges to brexit plan so far,0,0,0.023395647946825956,0,0.028817125,0,0.00018420107,True
crowd controversy the making of an inauguration day photo,0,1,0.8543005053295679,0,0.118652254,0,0.04975241,False
star mooch her taxpayer funded mom and meryl streep travel to africa to discuss gender inequality,1,1,0.5989626031874453,1,0.97096306,1,0.9996463,True
 jeb bush brings mom to rally cracks awkward joke about her abusing him as a child video,1,1,0.946994268737141,1,0.9988341,1,0.9996873,True
 the white house had way too much fun trolling birthers over ted cruz video,1,1,0.9590915496480286,1,0.99243563,1,0.999795,True
brexit deal on irish border possible by friday eu commission,0,0,0.01730566381786492,0,0.0038859954,0,0.00018566604,True
trump to nominate former senate aide peirce for sec commissioner,0,0,0.033117229135397386,0,0.02344181,0,0.0018361169,True
breaking judge ambushed outside courthouseshot by waiting gunman video,1,1,0.9852374044209443,1,0.9568638,1,0.85375345,True
investor carl icahn steps down as adviser to president trump,0,0,0.42777353607884405,0,0.38692334,0,0.027068041,True
 anderson cooper demands answers after trumps huge mistake with taiwan,1,1,0.710684883893823,1,0.65112734,0,0.28126118,False
 watch deplorable trump supporter punches protester and slaps woman at rally,1,1,0.9616456311274371,1,0.98659176,1,0.99917394,True
 china warns trump provoke north korea and pay the price,1,0,0.05906769831444165,0,0.012894818,0,0.004460712,True
uk believes tax laws compatible with eu rules pm mays spokeswoman,0,0,0.016992123972726238,0,0.0014184545,0,0.00030617393,True
 anonymous hacks isis twitter accounts trolls them perfectly tweets,1,1,0.9651343984643477,1,0.9352881,1,0.9009807,True
 kellyanne conway makes a fool of herself trying to defend trumps ridiculous attack on obama video,1,1,0.9808449594538612,1,0.99899083,1,0.9998424,True
refusing to sit on lead trump gets bitter in republican debate,0,0,0.44128708835705155,0,0.20884648,0,0.0033608433,True
government santa candidate gets another huge endorsement just in time for christmas,1,1,0.9744051558555208,1,0.9949464,1,0.9996928,True
for the party and the motherland north koreas kim heralds missile test after setbacks,0,0,0.08707876575743793,0,0.14990081,0,0.0035385198,True
obama carbon plan will survive court ruling epa,0,0,0.12114698088301477,0,0.01451895,0,0.001628528,True
ranks of worlds refugees swell as asylum space shrinks un,0,0,0.36260203477854025,0,0.100684725,0,0.033910595,True
 trump humiliated by being forced to sign russia sanctions bill which limits his power,1,0,0.23201571915216648,1,0.59759796,1,0.8707455,False
a majority of adults disagree with trump on firing athletes who kneel during anthem reutersipsos poll,0,0,0.27505332401475335,1,0.9058884,0,0.43488058,False
chinas cyber watchdog imposes top fines on tech firms over censorship,0,0,0.0794213823738037,0,0.06368257,0,0.0010860013,True
moroccos mule women scratch a living on spanish enclave border,0,0,0.3118470210020789,0,0.0739334,0,0.00032847247,True
 south dakota republican rigs upcoming election for herself by personally purging democratic voters,1,0,0.1585760722616915,1,0.6365059,1,0.99970454,False
democraticled states battle trump over consumer financial agency,0,0,0.07477176216017574,0,0.041405257,0,0.0032260919,True
watch michelle obama take one last walk through the house she was forced to wake up in every morning knowing it was built by slaves,1,1,0.9138770124093057,1,0.9985109,1,0.99981254,True
presidential vote runnerup in kyrgyzstan concedes defeat,0,0,0.11880362497489325,0,0.05983684,0,0.00033850502,True
obama theres little difference between communism and capitalism video,1,1,0.9826406523695721,1,0.9857778,0,0.0053372076,False
german spy agencies want right to destroy stolen data and hack back,0,0,0.3950411711820615,0,0.15839194,0,0.056751687,True
alabama governor to face impeachment push in state legislature,0,0,0.16551151895648528,0,0.03998367,0,0.0016990198,True
kremlin us arms license for kiev may trigger new bloodshed in east ukraine,0,0,0.1209570734988914,0,0.20936564,0,0.017815724,True
former ku klux klan leader duke runs for us senate in louisiana,0,0,0.19028245951589007,0,0.07210822,0,0.20139736,True
 rob reiner has the best response to trump going to mexico,1,1,0.7225116074842747,0,0.38762164,1,0.9942713,False
watch live stream sarah palin to endorse trump  big day of endorsements for the donald video,1,1,0.9932365070474769,1,0.99953485,1,0.99794453,True
 gop just demanded hillary clinton give them a plan to fix healthcare and got roasted alive tweets,1,1,0.9924999331251546,1,0.99973494,1,0.99985826,True
 fox news host leaks that spicer is getting fired claims shes already in talks to take over his job,1,1,0.8992112288550715,1,0.9949156,1,0.9997819,True
zimbabwes mugabe in contact with ousted vice president,0,0,0.06561811553916586,0,0.071363054,0,0.00017838115,True
washed up hollywood loser makes embarrassing video bashing trump over paris climate agreement,1,1,0.9269592123377481,1,0.9993723,1,0.99974245,True
poll gives new zealands nationals nine point lead after final tv debate before vote,0,0,0.13358276354554846,1,0.843235,0,0.0002630336,False
in heros return mccain blasts congress tells senators to stand up to trump,0,0,0.2318784619155619,1,0.59931785,0,0.2207114,False
nigerias buhari urges calm after herdsmen kill  in central plateau state,0,0,0.12618335487782537,0,0.047849953,0,0.00023435337,True
 trump already going ballistic over maddow getting his tax returns  releases unhinged statement,1,1,0.6460817007937987,1,0.97300637,1,0.9986815,True
 the daily caller edits womans tragic pregnancy story in the sickest most twisted way imaginable,1,1,0.6585858206894732,1,0.9743637,1,0.99984837,True
 watch van jones takes trump to the woodshed for unpatriotic response to russia hack,1,1,0.8531304065068027,1,0.95788664,1,0.99982905,True
the future belongs to ai and whoever masters it first will rule the world,1,0,0.3123659428923225,1,0.56526476,1,0.99883384,False
boiler room ep   the oppression commiseration and similar topics,1,1,0.9264547486340703,1,0.8840492,1,0.836229,True
bannons exit not seen to signal trump shift to center,0,0,0.18207249764587538,0,0.09175996,0,0.0011463921,True
commentary how long before north korea can nuke a us city,0,0,0.09853452262840091,0,0.01669447,1,0.83844376,False
 mother calls cops about her missing yearold so they come and smash his face in,1,1,0.7911512375842629,1,0.97230184,1,0.9998005,True
treasury nominee mnuchin says longterm dollar strength important,0,0,0.09351899367716116,0,0.0067981915,0,0.00013773865,True
women in maledominated career fields watch a unique us presidential campaign,0,1,0.7511843411940582,1,0.97136873,1,0.9948532,True
us military in iraq urges iraqis kurds to avoid escalation,0,0,0.039162794595305014,0,0.005709382,0,0.0037482595,True
us senate support for trump education nominee weakens,0,0,0.11223303610622685,0,0.027392162,0,0.0018204587,True
watch the views liberal hags attack meghan mccain for defending flag on her first day as new cohost,1,1,0.9306815338934974,1,0.9994449,1,0.9998129,True
why would obama regime allow  jihad training camps capable of mounting terror campaigns within us to remain open,1,1,0.6914026187486912,1,0.99741024,1,0.99956435,True
in new hampshire indonesian christians caught in trump immigration crackdown,0,0,0.24147861410383623,1,0.52478033,0,0.011511984,False
stand up and cheer ukip party leader slams germany france and eu invasion of phony refugees video,1,1,0.5720859390942554,1,0.99274445,1,0.99858654,True
czech tycoon babis to be named prime minister but may struggle to find partners,0,0,0.09908961298350663,0,0.29989594,0,0.00026238034,True
hopes fade for  russians missing in arctic helicopter accident,0,0,0.09359470465965637,0,0.073786795,0,0.0040172418,True
saudi king to visit russia ria cites kremlin,0,0,0.03886612155962979,0,0.01984554,0,0.00031854515,True
 thinskinned trump whines about election results again and gets his a handed to him,1,1,0.7999359725235341,1,0.9700419,1,0.9992173,True
trump administration moves closer to undoing overtime pay rule,0,0,0.11548980072976714,0,0.07381906,0,0.0024038262,True
turkey says  militants killed in air strike in north iraq,0,0,0.011198995500556553,0,8.7919776e-05,0,0.00051047734,True
 pastor decides straight couple cant even support marriage equality cancels their wedding,1,1,0.6578981317123993,1,0.92926747,1,0.9990472,True
team romney joins gop establishment fight against trump,1,1,0.7373485265317571,1,0.61346585,0,0.0034464756,False
trump adviser says republicans wont have contested convention ,0,0,0.13829915231934062,0,0.022093851,0,0.0011077342,True
just in criminal hackers who stole data from  million yahoo email users were russian agents obama regime invited to uscourted by fbi,1,1,0.909220707791954,1,0.9985563,1,0.99960774,True
washington insiders give trump big us supreme court win,0,0,0.36322724120255845,0,0.064211436,0,0.015284378,True
us top court preserves alabama campaign finance curbs,0,0,0.110104072065371,0,0.044543676,0,0.0023146614,True
trump disputes account of his supreme court nominees comments,0,0,0.17120078855674778,0,0.06071105,0,0.0010481307,True
uk prince charless tour of southeast asia leaves out myanmar,0,0,0.01938032447500127,0,0.012622625,0,0.0003991136,True
caught up in catalan crisis belgian pm urges dialogue,0,0,0.03119179754573014,0,0.0050604953,0,0.00021544287,True
breaking a huge deal putin suspends nuclear pact with us,1,1,0.6359427229918297,1,0.83033484,1,0.99771714,True
  of republican high rollers want trump out of their party  and the  race,1,0,0.41490015571693933,1,0.6735291,1,0.9685065,False
watch reagan warn us and draw battle linestrump is finishing the battle against the liberal fascists video,1,1,0.9692830185697605,1,0.9998673,1,0.9998204,True
this is huge trump suspends expedited hb visas for foreign workersamerica first video,1,1,0.9721196310315745,1,0.9939156,1,0.9947836,True
appeals court grants trump request to delay mercury air pollution case,0,0,0.08222036371925395,0,0.06336071,0,0.0016302406,True
 former gop rep thinks adam schiff should recuse himself from russia probe too because reasons,1,1,0.7569331455424149,1,0.96253943,1,0.9960651,True
fifty chinese couples marry in mass ceremony in sri lanka,0,0,0.32446485516960133,0,0.104133785,0,0.0048667174,True
mugabe given until noon monday to quit as zimbabwe president,0,0,0.15766311354939647,0,0.08597138,0,0.00016376126,True
trump will not visit fbi headquarters msnbc,0,0,0.37345919583329046,0,0.06206253,0,0.0037995742,True
 gun dealer backs out of selling zimmermans murder weapon closes social media accounts,1,0,0.36553478404610984,1,0.7978247,0,0.0067268363,False
hamas deputy leader says to continue iran ties armed fight,0,0,0.0242222389148023,0,0.001135801,0,0.0004397482,True
trump winscruz suspendsbernie burns hillary make america great again,1,1,0.9884176929021041,1,0.9576345,0,0.21840794,False
hillarys campaign manager deflects and dodges questions on clinton email scandal and sanctuary cities video,1,1,0.8962163599519681,1,0.9995394,0,0.15132818,False
 ruth bader ginsburg makes america a promise and it could help save democracy,1,1,0.8622583173140573,1,0.81920546,1,0.99935204,True
 suspicions mount as new details on donald trump selffunding emerge images,1,1,0.9680753728118212,1,0.99344057,0,0.06849319,False
former presidential rival jeb bush says he will not vote for trump,0,0,0.08541018158718461,0,0.024645884,0,0.002425152,True
 president trump masked nationalists beat up refugee children video,1,1,0.9791113819722251,1,0.99473864,1,0.976828,True
trump likely to nominate former senate aide peirce for sec bloomberg,0,0,0.03552414075609263,0,0.02095427,0,0.0011747434,True
austrian conservative kurz says needs more time on coalition,0,0,0.10266929896523677,0,0.006798996,0,0.00031098147,True
nfl nightmare continuesseahawks player caught on video taunting female officer during arrest are you scared of mei got a lot of fking money you brokeass nggas,1,1,0.9893362247766018,1,0.99972326,1,0.9998435,True
parents jailed and kids taken away for  minute delay in getting home to year old,1,1,0.8335509833010624,1,0.9908455,1,0.99746025,True
rubio backers spend big in texas ahead of super tuesday,0,0,0.26997958545131445,0,0.10359142,0,0.017059265,True
house speaker may need a temporary bill to fund government past dec ,0,0,0.08522897645147427,0,0.18556978,0,0.004041548,True
russias medvedev says the world shouldnt be dominated by one currency,0,0,0.13288072530410122,0,0.014909787,0,0.0036103737,True
not funny what these morons did for crooked hillary should frighten every american video,1,1,0.9994047966709574,1,0.99902916,1,0.99982566,True
disrespectful dems exposed youll never guess who also boycotted george w bushs inauguration video,1,1,0.9856906514339021,1,0.9990829,1,0.99973994,True
abe moon to seek chinese russian support for north korea sanctions kyodo,0,0,0.008500307960239921,0,0.0073271613,0,0.00069530663,True
 chris hardwick lampoons sarah palin by comparing her to the perfect cartoon character video,1,1,0.9900244188996985,1,0.9985518,1,0.999796,True
 trump blasted nordstrom for dropping ivankas brand the companys response is perfect tweet,1,1,0.793752493030093,1,0.97784084,1,0.9819604,True
factbox trump on twitter dec   kate steinle tax cuts rex tillerson,0,0,0.04764412686147575,0,0.017446587,0,0.00043919098,True
boiler room ep   the return of the social rejects club,1,1,0.8444857428917985,1,0.9404056,1,0.98935986,True
clinton leads trump by  points in reutersipsos poll,0,0,0.047085577267199995,0,0.0115378685,0,0.00047905216,True
meals on wheels shuts the lyin lefties up with truth after moveonorgs fake news video,1,1,0.9625924694562904,1,0.9984205,1,0.99960595,True
lebanese president says trump decision threatens stability,0,0,0.11572038260249484,0,0.021982607,0,0.00043134028,True
factbox trump on twitter sept   nascar nfl john kelly puerto rico john mccain alabama,0,0,0.3094548456782109,1,0.638612,0,0.00039141797,False
miami hospitals prepare for surge in births during hurricane irma,0,0,0.14727801574273297,0,0.07185917,0,0.005712648,True
shocking raw video of alexandria shooting witness takes video with phone video,1,1,0.9996669705125687,1,0.97836155,1,0.9992161,True
new north dakota governor expects controversial pipeline to be built,0,0,0.08814672876271322,0,0.038747028,0,0.004005352,True
 watch activist destroys nc republicans defense of racist voter laws video,1,1,0.9956083163950654,1,0.9997372,1,0.99903286,True
 jeb bush blames the pope for making him lose the gop nomination video,1,1,0.9725438828208662,1,0.9985512,1,0.99824584,True
